일자,주문액_방송,주문액_모바일,주문채널,주문영역
2026-05-01,225000000,140000000,TV,홈
2026-05-01,160000000,125000000,카카오채널,검색
2026-05-01,140000000,95000000,자연유입,GNB
2026-05-01,105000000,90000000,DA,MY추천
2026-05-01,95000000,75000000,SA,기획전
2026-05-01,80000000,85000000,푸시,특가매장
2026-05-02,240000000,155000000,TV,홈
2026-05-02,180000000,140000000,카카오채널,검색
2026-05-02,155000000,110000000,자연유입,GNB
2026-05-02,120000000,105000000,DA,MY추천
2026-05-02,110000000,90000000,SA,기획전
2026-05-02,95000000,105000000,푸시,특가매장
2026-05-03,210000000,135000000,TV,홈
2026-05-03,150000000,120000000,카카오채널,검색
2026-05-03,130000000,85000000,자연유입,GNB
2026-05-03,95000000,80000000,DA,MY추천
2026-05-03,85000000,70000000,SA,기획전
2026-05-03,75000000,90000000,푸시,특가매장
2026-05-04,255000000,170000000,TV,홈
2026-05-04,190000000,145000000,카카오채널,검색
2026-05-04,165000000,125000000,자연유입,GNB
2026-05-04,130000000,110000000,DA,MY추천
2026-05-04,120000000,95000000,SA,기획전
2026-05-04,105000000,125000000,푸시,특가매장
2026-05-05,285000000,190000000,TV,홈
2026-05-05,210000000,165000000,카카오채널,검색
2026-05-05,185000000,140000000,자연유입,GNB
2026-05-05,145000000,130000000,DA,MY추천
2026-05-05,135000000,115000000,SA,기획전
2026-05-05,125000000,150000000,푸시,특가매장
2026-05-06,245000000,160000000,TV,홈
2026-05-06,180000000,140000000,카카오채널,검색
2026-05-06,155000000,95000000,자연유입,GNB
2026-05-06,120000000,90000000,DA,MY추천
2026-05-06,110000000,80000000,SA,기획전
2026-05-06,95000000,110000000,푸시,특가매장
2026-05-07,220000000,140000000,TV,홈
2026-05-07,160000000,130000000,카카오채널,검색
2026-05-07,135000000,85000000,자연유입,GNB
2026-05-07,105000000,80000000,DA,MY추천
2026-05-07,95000000,70000000,SA,기획전
2026-05-07,80000000,90000000,푸시,특가매장
2026-05-08,260000000,170000000,TV,홈
2026-05-08,190000000,140000000,카카오채널,검색
2026-05-08,165000000,105000000,자연유입,GNB
2026-05-08,130000000,100000000,DA,MY추천
2026-05-08,120000000,85000000,SA,기획전
2026-05-08,105000000,120000000,푸시,특가매장
2026-05-09,275000000,180000000,TV,홈
2026-05-09,205000000,155000000,카카오채널,검색
2026-05-09,180000000,125000000,자연유입,GNB
2026-05-09,140000000,115000000,DA,MY추천
2026-05-09,130000000,105000000,SA,기획전
2026-05-09,120000000,135000000,푸시,특가매장
2026-05-10,300000000,195000000,TV,홈
2026-05-10,220000000,175000000,카카오채널,검색
2026-05-10,195000000,140000000,자연유입,GNB
2026-05-10,150000000,130000000,DA,MY추천
2026-05-10,140000000,120000000,SA,기획전
2026-05-10,135000000,160000000,푸시,특가매장
2026-05-11,215000000,130000000,TV,홈
2026-05-11,155000000,115000000,카카오채널,검색
2026-05-11,135000000,80000000,자연유입,GNB
2026-05-11,105000000,75000000,DA,MY추천
2026-05-11,95000000,65000000,SA,기획전
2026-05-11,80000000,85000000,푸시,특가매장
2026-05-12,235000000,150000000,TV,홈
2026-05-12,175000000,135000000,카카오채널,검색
2026-05-12,150000000,95000000,자연유입,GNB
2026-05-12,115000000,85000000,DA,MY추천
2026-05-12,105000000,75000000,SA,기획전
2026-05-12,90000000,105000000,푸시,특가매장
2026-05-13,260000000,165000000,TV,홈
2026-05-13,190000000,145000000,카카오채널,검색
2026-05-13,165000000,105000000,자연유입,GNB
2026-05-13,130000000,95000000,DA,MY추천
2026-05-13,120000000,85000000,SA,기획전
2026-05-13,105000000,120000000,푸시,특가매장
2026-05-14,280000000,175000000,TV,홈
2026-05-14,205000000,155000000,카카오채널,검색
2026-05-14,180000000,120000000,자연유입,GNB
2026-05-14,140000000,110000000,DA,MY추천
2026-05-14,130000000,100000000,SA,기획전
2026-05-14,120000000,140000000,푸시,특가매장
2026-05-15,245000000,155000000,TV,홈
2026-05-15,180000000,140000000,카카오채널,검색
2026-05-15,155000000,100000000,자연유입,GNB
2026-05-15,120000000,90000000,DA,MY추천
2026-05-15,110000000,80000000,SA,기획전
2026-05-15,95000000,110000000,푸시,특가매장
2026-05-16,270000000,170000000,TV,홈
2026-05-16,200000000,150000000,카카오채널,검색
2026-05-16,175000000,115000000,자연유입,GNB
2026-05-16,135000000,105000000,DA,MY추천
2026-05-16,125000000,95000000,SA,기획전
2026-05-16,115000000,130000000,푸시,특가매장
2026-05-17,290000000,180000000,TV,홈
2026-05-17,215000000,160000000,카카오채널,검색
2026-05-17,185000000,130000000,자연유입,GNB
2026-05-17,145000000,120000000,DA,MY추천
2026-05-17,135000000,110000000,SA,기획전
2026-05-17,125000000,145000000,푸시,특가매장
2026-05-18,225000000,140000000,TV,홈
2026-05-18,160000000,125000000,카카오채널,검색
2026-05-18,140000000,90000000,자연유입,GNB
2026-05-18,105000000,80000000,DA,MY추천
2026-05-18,95000000,70000000,SA,기획전
2026-05-18,80000000,90000000,푸시,특가매장
2026-05-19,255000000,160000000,TV,홈
2026-05-19,190000000,145000000,카카오채널,검색
2026-05-19,165000000,105000000,자연유입,GNB
2026-05-19,130000000,95000000,DA,MY추천
2026-05-19,120000000,85000000,SA,기획전
2026-05-19,105000000,120000000,푸시,특가매장
2026-05-20,285000000,180000000,TV,홈
2026-05-20,210000000,160000000,카카오채널,검색
2026-05-20,185000000,125000000,자연유입,GNB
2026-05-20,145000000,115000000,DA,MY추천
2026-05-20,135000000,105000000,SA,기획전
2026-05-20,125000000,145000000,푸시,특가매장
